codigo_municipio;nome_municipio;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
3104452;Aricanduva (MG);2049;1977;2148;3139;2420;3368;3224;3824;4700;6033;4109;5361;6384;12628;6013;9298;13283
3104502;Arinos (MG);12201;17325;18415;19429;18376;26294;26355;24964;28041;29350;37328;40243;42159;39944;46562;40528;42131
3104601;Astolfo Dutra (MG);2577;3893;4069;4494;4926;5788;6169;5738;6456;8671;8671;10160;9700;10473;11616;24621;21281
3104700;Ataléia (MG);8089;10395;11873;12563;14640;17635;19351;19022;17610;19754;22082;29131;32367;32002;33647;25660;22822
3104809;Augusto de Lima (MG);5208;5952;7165;6598;5940;16293;7782;7607;9701;10041;12361;17008;15421;14454;9885;8771;10257
3104908;Baependi (MG);6766;7740;11351;10769;12612;12751;15060;15533;15055;21400;20599;21173;21727;18739;31871;20873;17080
3105004;Baldim (MG);4200;5535;6443;6589;5756;9198;9158;10362;9157;12098;14026;15231;19167;14670;15777;13436;11843
3105103;Bambuí (MG);22476;26774;34262;41377;41133;51788;45711;59478;58922;88242;79117;113850;104086;82922;152228;117680;107148
3105202;Bandeira (MG);2985;3450;4007;4105;4336;5244;5768;6052;5724;6798;6492;7393;8235;8568;10592;8156;6768
3105301;Bandeira do Sul (MG);1440;1304;2574;1788;3899;2108;3018;2311;2734;3183;3869;3299;4081;3577;5477;2879;2933
3105400;Barão de Cocais (MG);1413;1546;4293;2927;4178;9582;11426;5821;5317;11045;6965;10020;8831;15802;9012;9429;13454
3105509;Barão de Monte Alto (MG);2159;2752;3902;3438;4137;4792;4780;4672;4522;4281;4078;4595;4704;4492;5564;4607;4314
3105608;Barbacena (MG);19254;23878;30221;31656;33928;34445;35966;42294;52641;66719;69198;77754;102482;112157;145859;91759;92825
3105707;Barra Longa (MG);3134;4122;4844;4388;4653;5260;6344;6603;5669;6267;6134;8223;9144;8491;11558;9934;9674
3105905;Barroso (MG);582;878;1077;1286;2264;2438;2295;2821;2512;3067;2462;3342;3340;2051;2877;2455;2822
3106002;Bela Vista de Minas (MG);461;658;788;495;407;456;605;620;775;741;507;665;644;721;1854;10811;6819
3106101;Belmiro Braga (MG);3750;3155;4004;3723;3898;4099;4336;6781;5051;6874;6789;8531;8929;7912;10986;7271;7031
3106200;Belo Horizonte (MG);305;418;496;520;509;515;577;682;833;1117;1206;1315;1487;1721;2302;1982;2015
3106309;Belo Oriente (MG);9632;11776;9130;14623;10222;5421;4616;8821;11948;14409;23118;10528;10470;5853;13561;12016;9147
3106408;Belo Vale (MG);2586;3444;4005;3842;3548;3967;6067;7447;6040;22310;16637;15822;21653;20073;25494;13386;14712
3106507;Berilo (MG);1674;2283;2654;2447;2473;3847;3853;4246;5076;6363;5655;15067;15791;11327;7278;3697;3998
3106606;Bertópolis (MG);2187;2431;3026;2907;3346;3884;4378;4339;3934;4181;4377;5442;6128;6198;7519;6235;5583
3106655;Berizal (MG);757;897;922;1041;1149;1774;2178;1838;2079;2446;2558;4375;5127;5031;9396;3809;3904
3106705;Betim (MG);5768;6379;7487;7756;7052;9090;9750;10142;10123;12156;12792;14640;15275;14296;18948;13311;12831
3106804;Bias Fortes (MG);1775;2077;2509;2621;2473;2507;3089;3557;3408;4016;3662;5866;5441;4907;5988;4145;3846
3106903;Bicas (MG);1526;1636;1679;1588;1742;2085;2786;2674;2883;3236;3212;3871;4082;3722;4278;4681;5093
3107000;Biquinhas (MG);3036;3345;3840;3723;3480;4658;6677;4881;5395;6340;7776;9420;9496;9025;12020;10320;11018
3107109;Boa Esperança (MG);22085;25653;46909;26769;63078;47406;55009;49045;66638;128913;123783;84797;89983;88304;185885;134397;109821
3107208;Bocaina de Minas (MG);3024;3707;4453;2617;2977;3394;3473;3299;3278;3480;4173;5078;5174;4676;6508;7409;6751
3107307;Bocaiúva (MG);9489;12688;12879;15995;16194;19261;20644;24697;35091;28010;83886;64466;56710;69150;67592;78657;82035
3107406;Bom Despacho (MG);20230;31599;37722;37004;73824;44789;43234;47115;50347;59001;59309;80786;83319;75779;123256;92193;83981
3107505;Bom Jardim de Minas (MG);1423;2134;2277;1582;1474;1688;1707;1968;2397;2618;3236;26339;24989;34423;39326;37941;24192
3107604;Bom Jesus da Penha (MG);6239;8767;16981;14811;20922;19081;23189;17408;22408;29577;31237;30676;39486;27861;41936;38514;34411
3107703;Bom Jesus do Amparo (MG);2734;4032;5367;5124;5060;8287;6073;5955;4759;7369;4829;6196;6870;8903;7577;7702;9173
3107802;Bom Jesus do Galho (MG);5048;6528;7563;8578;9843;26897;19444;19290;16265;14784;13880;17209;30661;36473;28718;22571;28916
3107901;Bom Repouso (MG);7691;8376;8856;8780;9195;9459;12200;15835;19142;16861;19963;25554;27197;29400;38787;19433;20163
3108008;Bom Sucesso (MG);17691;17843;26820;24136;27565;25528;23314;24747;25575;32443;34843;36300;36161;33326;58762;35941;31408
3108107;Bonfim (MG);2877;3348;4075;4742;4558;5362;5520;6082;7326;8670;10824;14197;14421;13259;16985;12038;12620
3108206;Bonfinópolis de Minas (MG);13366;27304;26255;29375;22133;27241;39506;37975;39251;58965;73581;85772;80583;77807;116254;110105;97864
3108255;Bonito de Minas (MG);1375;1984;2829;2935;3550;3710;5311;3181;3487;3640;5451;12342;6422;5796;8517;7202;5758
3108305;Borda da Mata (MG);4679;5413;6997;7389;8216;8251;9274;9107;10606;13944;13314;16221;13598;18103;24030;14804;13804
3108404;Botelhos (MG);18890;12036;32864;20038;36508;18101;33260;23378;26255;32692;38061;29460;42452;54632;62692;53623;42386
3108503;Botumirim (MG);2239;2434;4144;4178;6908;6484;6364;8315;9917;13669;105879;14813;9003;9023;9451;7350;7094
3108552;Brasilândia de Minas (MG);6835;9654;11160;12089;10894;13153;14062;14422;16870;31302;37345;37767;39192;26654;35168;39087;68458
3108602;Brasília de Minas (MG);4803;5833;6666;7385;7288;8808;10532;10811;10858;10952;8398;10672;11616;12184;14136;12364;10475
3108701;Brás Pires (MG);1794;2207;2567;2767;2391;2396;2878;2504;2277;3778;7025;6819;5226;3175;4241;3357;3080
3108800;Braúnas (MG);1751;2019;2190;1947;1974;2222;2561;4015;3312;3723;3871;4253;6131;9711;11315;8510;7263
3108909;Brazópolis (MG);5817;6204;7927;9829;9837;11060;12989;14600;18704;26195;23529;23388;24658;25103;34332;13781;15049
3109006;Brumadinho (MG);6240;7847;9132;11552;11510;12662;13423;14768;15512;19202;22359;23985;24829;22727;29033;17875;18286
3109105;Bueno Brandão (MG);5044;5188;7496;7267;8751;6370;10816;13548;17415;18117;18331;22654;20457;21548;40224;23206;25548
3109204;Buenópolis (MG);5572;7128;8492;8086;6535;8416;9683;9021;12296;18164;16751;22051;19789;19793;23442;14668;14170
3109253;Bugre (MG);915;1108;1351;1880;1630;2169;5426;4687;3234;2948;2834;4171;5989;4260;5874;17687;4232
3109303;Buritis (MG);45876;66958;85420;83102;64907;70424;135360;131813;114565;252674;241419;201679;204149;212018;288129;259045;294988
3109402;Buritizeiro (MG);24312;33875;43075;52928;69886;75590;101124;71902;113500;97206;93259;110965;112688;81623;178235;152502;147840
3109451;Cabeceira Grande (MG);13966;17335;19540;23500;19863;22388;33067;33752;30073;47807;56504;57801;47898;47203;68624;68333;63489
3109501;Cabo Verde (MG);15798;16957;23076;27666;54238;35697;60783;36000;47931;69667;64821;35328;52944;57679;66999;61384;42839
3109600;Cachoeira da Prata (MG);592;741;2539;1355;1042;1526;1080;1123;1259;1290;1188;1455;2831;1442;1736;1342;1428
3109709;Cachoeira de Minas (MG);8434;8462;11731;12758;13597;12778;18475;15959;22920;27696;24563;24721;25025;25178;38122;24333;26841
3109808;Cachoeira Dourada (MG);4833;7878;6406;7847;5266;13171;11710;10556;11534;15751;18271;19536;16999;21775;21025;25459;24169
3109907;Caetanópolis (MG);4708;8648;10854;7226;6897;7118;7326;8090;18233;19781;34147;29778;27777;25380;26665;27289;29726
3110004;Caeté (MG);3636;4078;8206;6867;6827;18241;15084;12740;16004;16418;8147;13507;12809;13343;16844;18659;18156
3110103;Caiana (MG);1997;3081;3972;4102;5404;3971;6724;7129;7472;12839;10025;5608;8900;12481;15985;16967;15567
3110202;Cajuri (MG);1874;2582;2934;2960;2977;3503;3674;3354;4504;6053;6152;5776;7049;7702;8404;10306;8466
3110301;Caldas (MG);11505;11544;14013;14543;15724;17050;20895;22867;24295;27877;30017;38393;41473;38488;48333;37328;36755
3110400;Camacho (MG);2322;3238;4574;4315;5958;6208;4748;5051;6551;11030;8204;6712;7510;13237;19357;11883;10567
3110509;Camanducaia (MG);7840;3617;10489;15008;19863;30404;12031;14370;41178;46682;16742;18514;27904;22899;28774;19181;22683
3110608;Cambuí (MG);5387;5996;7083;7245;7121;7395;8516;9923;11236;14070;16098;23429;20803;22304;31791;19164;18829
3110707;Cambuquira (MG);15964;29081;36281;35412;43584;39305;40745;42534;50967;73228;80094;75807;98650;88962;139377;75576;85469
3110806;Campanário (MG);1711;2144;2975;3094;3558;3755;4096;4223;3687;3719;3671;4997;5417;5153;5213;4281;3581
3110905;Campanha (MG);12521;9584;15927;15707;17113;14305;17632;16188;21935;31696;27676;25147;37150;32614;53357;47296;41347
3111002;Campestre (MG);29111;29003;48413;34103;43346;28524;46387;46863;59859;72745;63824;53241;69246;81695;101899;90253;60198
3111101;Campina Verde (MG);29958;40223;49109;49581;47196;56206;50400;52165;65048;77557;81689;98021;109299;93563;127214;120801;92855
3111150;Campo Azul (MG);1408;1699;2131;2302;2454;2879;3610;3750;3695;3697;2911;3611;3899;4510;5227;2910;2599
3111200;Campo Belo (MG);13765;16001;24074;20899;29964;23720;21118;23499;45048;56731;51956;38175;28448;32983;57685;50687;39084
3111309;Campo do Meio (MG);8032;7429;20873;8350;21884;16361;16545;18818;19096;41913;24027;20211;19488;32771;43074;50759;42796
3111408;Campo Florido (MG);30164;43347;54319;48435;67746;69404;60024;59797;58712;91298;90003;93028;97430;88816;144051;191914;163550
3111507;Campos Altos (MG);27778;24214;39064;44256;51342;32733;53167;54987;66900;102793;84931;63951;90053;94865;146964;117243;99384
3111606;Campos Gerais (MG);38474;28147;68069;39685;60274;46457;56011;50996;76575;108435;103928;59691;86195;58594;161645;122696;119150
3111705;Canaã (MG);3409;4458;5707;8587;9470;10915;10944;10171;15042;18726;14917;15040;15794;15612;21730;26673;22248
3111804;Canápolis (MG);37354;38270;46999;41943;61398;74399;47529;68853;49967;113740;77007;80753;95189;58744;78815;80995;62686
3111903;Cana Verde (MG);5353;7958;8779;9737;10427;9520;8937;10290;10371;16109;12463;11219;9060;12475;12532;7674;7615
3112000;Candeias (MG);10083;14272;18672;17099;19566;22883;23945;23584;29659;57951;46401;37958;40065;51985;102232;61902;53947
3112059;Cantagalo (MG);1570;2278;2246;2604;2345;2941;4167;3313;3045;3880;4760;9990;10082;11753;11056;5608;6516
3112109;Caparaó (MG);2284;3742;6427;7845;8536;6274;7864;9499;9055;15080;13299;7630;13134;20036;40320;21998;20784
3112208;Capela Nova (MG);724;1280;1414;1247;1657;2086;2482;2622;2708;5177;3855;4307;4912;4911;7848;5670;4492
3112307;Capelinha (MG);11502;15707;17925;28536;24863;33507;36029;28340;37042;60084;60408;74752;111176;68905;71985;109880;106837
3112406;Capetinga (MG);6518;6745;9789;10470;15504;9963;12047;10606;17166;22804;27565;25582;30624;26219;44099;42699;44746
3112505;Capim Branco (MG);1465;3089;3065;1559;2255;1420;1699;1816;1579;2474;2912;3478;3512;3228;4035;2405;1897
3112604;Capinópolis (MG);20575;34835;39703;34553;37423;47948;44820;44450;47450;73399;72315;77953;61789;72546;85503;100666;109527
3112653;Capitão Andrade (MG);1210;1567;1855;1874;1996;3710;2875;3468;3430;3706;3942;5399;7654;6666;6461;4424;3742
3112703;Capitão Enéas (MG);5638;6772;7916;8667;8892;10194;16699;15507;18917;18062;18651;20477;16342;17553;24614;15110;14328
3112802;Capitólio (MG);7133;8587;12857;12615;14493;10963;12593;14992;17170;24762;20315;18938;25663;24272;31843;25468;29450
3112901;Caputira (MG);4812;6346;10154;8272;9996;10322;19844;9462;12049;22863;18233;12209;22054;22478;24039;12790;13874
3113008;Caraí (MG);4556;5890;6819;7969;10397;9203;9869;10383;10236;17995;13674;12076;13437;15120;14502;14794;12992
3113107;Caranaíba (MG);1053;1675;1737;1782;1783;1867;1990;1684;1877;2303;1931;3800;3347;3310;5620;3663;3855
3113206;Carandaí (MG);14451;15282;20708;23136;21051;21402;23034;26265;33530;40587;50599;59843;63016;70896;102206;68549;66883
3113305;Carangola (MG);4008;6223;8460;10134;11295;9450;14203;15088;14777;23535;20163;12942;18305;18360;24660;22375;22187
3113404;Caratinga (MG);15988;30741;20639;36535;20500;22786;22760;26789;41373;62162;44378;33642;41445;41559;64112;73873;68436
3113503;Carbonita (MG);2032;93370;3396;3837;3401;12821;12566;11476;5513;5953;21165;17551;77156;88671;20045;36233;72343
3113602;Careaçu (MG);3573;4067;5613;6073;6420;6946;7843;7638;8173;12380;12070;11107;10715;11048;13993;13381;11936
3113701;Carlos Chagas (MG);17867;21164;25519;24300;26806;30459;34133;33755;40296;37789;34031;48014;77949;57931;66772;44059;37103
3113800;Carmésia (MG);747;889;1015;1099;853;1012;991;1104;1078;1576;1453;3080;2423;2512;2291;2305;2535
3113909;Carmo da Cachoeira (MG);18482;18836;19780;19733;23741;25037;33503;28870;38908;94751;52253;40316;68873;65791;89501;70215;64233
3114006;Carmo da Mata (MG);4525;6012;7470;8313;9546;11438;9723;11395;11917;16679;15901;17130;18179;18115;20418;13557;15069
3114105;Carmo de Minas (MG);10210;12853;15478;22822;26294;19563;15228;20414;19801;39679;30670;24453;28772;27648;38153;37685;29686
3114204;Carmo do Cajuru (MG);8153;11618;10813;9589;11077;13145;12718;13772;14643;16366;20847;25558;24341;25366;44920;35379;36004
3114303;Carmo do Paranaíba (MG);30277;31413;41364;50120;51303;51061;69063;70125;77260;118555;109004;85559;116141;103714;162966;132844;114123
3114402;Carmo do Rio Claro (MG);23918;23590;51704;41143;66928;51631;51680;49243;60390;115705;84658;75609;79607;82379;146696;119003;118397
3114501;Carmópolis de Minas (MG);7203;8985;10718;10507;9223;11872;13079;15377;17193;21462;27438;31788;36906;38750;44520;28327;27966
3114550;Carneirinho (MG);23639;28888;36106;35046;34207;38638;43504;47925;45416;67708;53402;61855;73600;67315;86237;92831;96607
3114600;Carrancas (MG);4149;6467;10315;9591;9413;8707;8421;8825;8719;11614;12294;17826;25108;21019;26640;30014;27866
3114709;Carvalhópolis (MG);4324;3849;8825;4477;8413;5683;8572;8177;10831;15864;13047;9134;14181;14974;20254;14086;10914
3114808;Carvalhos (MG);2341;2617;3040;2999;3282;3820;4316;4438;4110;4616;5234;10968;9537;11224;9505;11967;10121
3114907;Casa Grande (MG);2008;2640;2867;2570;2700;3036;3316;3993;5516;7209;5776;9131;9453;9217;13252;34397;17149
3115003;Cascalho Rico (MG);5285;7471;8045;8898;9682;8812;10238;8204;10115;14666;15715;17419;16794;15101;23302;14550;13150
3115102;Cássia (MG);18109;20215;26381;27631;42722;44974;37397;31263;35951;54286;47407;47605;70834;60871;76898;54336;51882
3115201;Conceição da Barra de Minas (MG);2668;3944;4409;3714;3564;4155;4238;5236;5242;6316;6176;8522;10685;10508;15498;12472;11222
3115300;Cataguases (MG);5093;15295;9262;9507;13132;9250;10126;10346;10331;21114;19751;22618;25311;25821;25464;13388;12134
3115359;Catas Altas (MG);1732;2129;7833;5054;9131;3404;3544;8242;8543;4847;3107;12423;13253;7651;7277;7293;7257
3115409;Catas Altas da Noruega (MG);493;755;734;805;1003;1190;1280;1009;1177;1321;1115;3979;3266;3461;4205;7700;6656
